date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:35:40	69/69	---M-Z	200	added ('OK')	text/plain	date:Thu,%2013%20Feb%202025%2018:35:40%20GMT	https://templatekit.jegtheme.com/robots.txt		(from )
23:35:41	249515/249515	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Feb%202025%2018:35:41%20GMT	https://templatekit.jegtheme.com/shuttle/	D:/asp/Shuttle/templatekit.jegtheme.com/shuttle/index.html	(from )
23:35:41	4548/4548	---MCZ	403	error ('Forbidden')	text/html	date:Thu,%2013%20Feb%202025%2018:35:41%20GMT	https://templatekit.jegtheme.com/shuttle/xmlrpc.php	D:/asp/Shuttle/templatekit.jegtheme.com/shuttle/xmlrpc.php	(from https://templatekit.jegtheme.com/shuttle/)
23:35:42	197048/197048	---M-Z	200	added ('OK')	text/css	etag:%22301b8-6063a0fc3b1d6;61f39880b9910	https://templatekit.jegtheme.com/shuttle/wp-content/plugins/jeg-elementor-kit/assets/css/elements/main.css?ver=2.6.2	D:/asp/Shuttle/templatekit.jegtheme.com/shuttle/wp-content/plugins/jeg-elementor-kit/assets/css/elements/main61da.css	(from https://templatekit.jegtheme.com/shuttle/)
23:35:42	110035/110035	---M-Z	200	added ('OK')	text/css	etag:%221add3-60b0b1398f223;61f39880b9910	https://templatekit.jegtheme.com/shuttle/wp-includes/css/dist/block-library/style.min.css?ver=6.4.1	D:/asp/Shuttle/templatekit.jegtheme.com/shuttle/wp-includes/css/dist/block-library/style.minaec2.css	(from https://templatekit.jegtheme.com/shuttle/)
23:35:43	98/98	---M-Z	200	added ('OK')	text/css	etag:%2262-5f312659863c0;61f39880b9910	https://templatekit.jegtheme.com/shuttle/wp-content/plugins/allow-webp-image/public/css/allow-webp-image-public.css?ver=1.0.1	D:/asp/Shuttle/templatekit.jegtheme.com/shuttle/wp-content/plugins/allow-webp-image/public/css/allow-webp-image-publicf269.css	(from https://templatekit.jegtheme.com/shuttle/)
23:35:43	776/776	---M-Z	200	added ('OK')	application/rss+xml	etag:%2282a02ef25541b7f34513f3728798f280-gzip%22	https://templatekit.jegtheme.com/shuttle/comments/feed/	D:/asp/Shuttle/templatekit.jegtheme.com/shuttle/comments/feed/index.html	(from https://templatekit.jegtheme.com/shuttle/)
23:35:43	173167/173167	---M-Z	200	added ('OK')	application/rss+xml	etag:%2282a02ef25541b7f34513f3728798f280-gzip%22	https://templatekit.jegtheme.com/shuttle/feed/	D:/asp/Shuttle/templatekit.jegtheme.com/shuttle/feed/index.html	(from https://templatekit.jegtheme.com/shuttle/)
23:35:43	1111/1111	---M-Z	200	added ('OK')	text/css	etag:%22457-5d046282ed800;61f39880b9910	https://templatekit.jegtheme.com/shuttle/wp-content/plugins/template-kit-export/public/assets/css/template-kit-export-public.min.css?ver=1.0.21	D:/asp/Shuttle/templatekit.jegtheme.com/shuttle/wp-content/plugins/template-kit-export/public/assets/css/template-kit-export-public.min365c.css	(from https://templatekit.jegtheme.com/shuttle/)
23:35:43	19533/19533	---M-Z	200	added ('OK')	text/css	etag:%224c4d-60aa64c3daeda;61f39880b9910	https://templatekit.jegtheme.com/shuttle/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.23.0	D:/asp/Shuttle/templatekit.jegtheme.com/shuttle/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min192d.css	(from https://templatekit.jegtheme.com/shuttle/)
23:35:43	117332/117332	---M-Z	200	added ('OK')	text/css	etag:%221ca54-60aa64c3d417a;61f39880b9910	https://templatekit.jegtheme.com/shuttle/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.17.3	D:/asp/Shuttle/templatekit.jegtheme.com/shuttle/wp-content/plugins/elementor/assets/css/frontend-lite.min8864.css	(from https://templatekit.jegtheme.com/shuttle/)
23:35:44	12876/12876	---M-Z	200	added ('OK')	text/css	etag:%22324c-60aa64c3dbe7a;61f39880b9910	https://templatekit.jegtheme.com/shuttle/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min.css?ver=5.3.6	D:/asp/Shuttle/templatekit.jegtheme.com/shuttle/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min48f5.css	(from https://templatekit.jegtheme.com/shuttle/)
23:35:44	15515/15515	---M-Z	200	added ('OK')	text/css	etag:%223c9b-60aa663cdb2d0;61f39880b9910	https://templatekit.jegtheme.com/shuttle/wp-content/uploads/sites/300/elementor/css/post-3.css?ver=1700559615	D:/asp/Shuttle/templatekit.jegtheme.com/shuttle/wp-content/uploads/sites/300/elementor/css/post-366c6.css	(from https://templatekit.jegtheme.com/shuttle/)
